,county,population,growthrate
0,Los Angeles,10105500,2.8819
1,San Diego,3343360,7.7353
2,Orange,3185970,5.616
3,Riverside,2450760,11.3147
4,San Bernardino,2171600,6.4035
5,Santa Clara,1937570,8.4817
6,Alameda,1666750,10.159
7,Sacramento,1540980,8.4121
8,Contra Costa,1150220,9.2783
9,Fresno,994400,6.6881
10,Kern,896764,6.6215
11,San Francisco,883305,9.6524
12,Ventura,850967,3.1313
13,San Mateo,769545,6.9221
14,San Joaquin,752660,9.5326
15,Stanislaus,549815,6.726
16,Sonoma,499942,3.1285
17,Tulare,465861,5.1619
18,Solano,446610,7.8914
19,Santa Barbara,446527,5.2546
20,Monterey,435594,4.6105
21,Placer,393149,12.3199
22,San Luis Obispo,284010,5.2649
23,Merced,274765,7.0241
24,Santa Cruz,274255,4.2133
25,Marin,259666,2.6733
26,Butte,231256,5.1426
27,Yolo,220408,9.6105
28,El Dorado,190678,5.2696
29,Imperial,181827,4.0617
30,Shasta,180040,1.5586
31,Madera,157672,4.4144
32,Kings,151366,-0.6661
33,Napa,139417,1.9071
34,Humboldt,136373,1.017
35,Nevada,99696,0.9222
36,Sutter,96807,2.1677
37,Mendocino,87606,-0.221
38,Yuba,78041,7.8659
39,Lake,64382,-0.5453
40,Tehama,63916,0.5522
41,San Benito,61537,10.8435
42,Tuolumne,54539,-1.1814
43,Calaveras,45602,0.2947
44,Siskiyou,43724,-2.7015
45,Amador,39383,3.9568
46,Lassen,30802,-11.5698
47,Glenn,28047,-0.2809
48,Del Norte,27828,-2.5903
49,Colusa,21627,0.8863
50,Plumas,18804,-5.574
51,Inyo,17987,-2.836
52,Mariposa,17471,-4.4099
53,Mono,14250,-0.0491
54,Trinity,12535,-8.8629
55,Modoc,8777,-9.5061
56,Sierra,2987,-7.2648
57,Alpine,1101,-5.168
